	Cell type	Assay	Treatment	Assay type	Source	
78	HCM	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHcmUniPk.narrowPeak.gz
79	HConF	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHconfUniPk.narrowPeak.gz
80	HCPEpiC	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHcpepicUniPk.narrowPeak.gz
81	HCT-116	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHct116UniPk.narrowPeak.gz
82	HEEpiC	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHeepicUniPk.narrowPeak.gz
83	HFF-Myc	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHffmycUniPk.narrowPeak.gz
84	HFF	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHffUniPk.narrowPeak.gz
85	HGF	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHgfUniPk.narrowPeak.gz
86	HIPEpiC	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHipepicUniPk.narrowPeak.gz
87	HL-60	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHl60UniPk.narrowPeak.gz
88	HMF	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHmfUniPk.narrowPeak.gz
89	HMVEC-dAd	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHmvecdadUniPk.narrowPeak.gz
90	HMVEC-dBl-Ad	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHmvecdbladUniPk.narrowPeak.gz
91	HMVEC-dBl-Neo	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHmvecdblneoUniPk.narrowPeak.gz
92	HMVEC-dLy-Ad	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHmvecdlyadUniPk.narrowPeak.gz
93	HMVEC-dLy-Neo	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHmvecdlyneoUniPk.narrowPeak.gz
94	HMVEC-dNeo	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHmvecdneoUniPk.narrowPeak.gz
95	HMVEC-LBl	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHmveclblUniPk.narrowPeak.gz
96	HMVEC-LLy	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHmvecllyUniPk.narrowPeak.gz
97	HNPCEpiC	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHnpcepicUniPk.narrowPeak.gz
98	HPAEC	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHpaecUniPk.narrowPeak.gz
99	HPAF	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHpafUniPk.narrowPeak.gz
100	HPdLF	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHpdlfUniPk.narrowPeak.gz
101	HPF	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHpfUniPk.narrowPeak.gz
102	HRCEpiC	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHrcepicUniPk.narrowPeak.gz
103	HRE	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHreUniPk.narrowPeak.gz
104	HRGEC	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHrgecUniPk.narrowPeak.gz
105	HRPEpiC	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHrpepicUniPk.narrowPeak.gz
106	HVMF	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwHvmfUniPk.narrowPeak.gz
107	Jurkat	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwJurkatUniPk.narrowPeak.gz
108	Monocytes-CD14+_RO01746	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwMonocytescd14ro01746UniPk.narrowPeak.gz
109	NB4	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwNb4UniPk.narrowPeak.gz
110	NH-A	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwNhaUniPk.narrowPeak.gz
111	NHDF-Ad	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwNhdfadUniPk.narrowPeak.gz
112	NHDF-neo	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwNhdfneoUniPk.narrowPeak.gz
113	NHLF	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwNhlfUniPk.narrowPeak.gz
114	NT2-D1	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwNt2d1UniPk.narrowPeak.gz
115	PANC-1	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwPanc1UniPk.narrowPeak.gz
116	PrEC	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwPrecUniPk.narrowPeak.gz
117	RPTEC	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwRptecUniPk.narrowPeak.gz
118	SAEC	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwSaecUniPk.narrowPeak.gz
119	SKMC	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwSkmcUniPk.narrowPeak.gz
120	SK-N-MC	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwSknmcUniPk.narrowPeak.gz
121	SK-N-SH_RA	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwSknshraUniPk.narrowPeak.gz
122	Th2	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwTh2UniPk.narrowPeak.gz
123	WERI-Rb-1	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwWerirb1UniPk.narrowPeak.gz
124	WI-38	DNase	4OHTAM_20nM_72hr	DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwWi38tamoxifentamoxifenUniPk.narrowPeak.gz
125	WI-38	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseUwWi38UniPk.narrowPeak.gz
126	Dnd41	CTCF		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadDnd41CtcfUniPk.narrowPeak.gz
127	Dnd41	EZH2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadDnd41Ezh239875UniPk.narrowPeak.gz
128	GM12878	CTCF		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadGm12878CtcfUniPk.narrowPeak.gz
129	GM12878	EZH2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadGm12878Ezh239875UniPk.narrowPeak.gz
130	H1-hESC	CHD1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadH1hescChd1a301218aUniPk.narrowPeak.gz
131	H1-hESC	CTCF		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadH1hescCtcfUniPk.narrowPeak.gz
132	H1-hESC	EZH2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadH1hescEzh239875UniPk.narrowPeak.gz
133	H1-hESC	JARID1A		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadH1hescJarid1aab26049UniPk.narrowPeak.gz
134	H1-hESC	RBBP5		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadH1hescRbbp5a300109aUniPk.narrowPeak.gz
135	HeLa-S3	CTCF		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadHelas3CtcfUniPk.narrowPeak.gz
136	HeLa-S3	EZH2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadHelas3Ezh239875UniPk.narrowPeak.gz
137	HeLa-S3	Pol2(b)		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadHelas3Pol2bUniPk.narrowPeak.gz
138	HepG2	CTCF		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadHepg2CtcfUniPk.narrowPeak.gz
139	HepG2	EZH2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadHepg2Ezh239875UniPk.narrowPeak.gz
140	HMEC	CTCF		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadHmecCtcfUniPk.narrowPeak.gz
141	HMEC	EZH2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadHmecEzh239875UniPk.narrowPeak.gz
142	HSMM	CTCF		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadHsmmCtcfUniPk.narrowPeak.gz
143	HSMM	EZH2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadHsmmEzh239875UniPk.narrowPeak.gz
144	HSMMtube	CTCF		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadHsmmtCtcfUniPk.narrowPeak.gz
145	HSMMtube	EZH2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadHsmmtEzh239875UniPk.narrowPeak.gz
146	HUVEC	CTCF		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadHuvecCtcfUniPk.narrowPeak.gz
147	HUVEC	EZH2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadHuvecEzh239875UniPk.narrowPeak.gz
148	HUVEC	Pol2(b)		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadHuvecPol2bUniPk.narrowPeak.gz
149	K562	CHD1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadK562Chd1a301218aUniPk.narrowPeak.gz
150	K562	CTCF		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadK562CtcfUniPk.narrowPeak.gz
151	K562	EZH2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadK562Ezh239875UniPk.narrowPeak.gz
152	K562	HDAC1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadK562Hdac1sc6298UniPk.narrowPeak.gz
153	K562	HDAC2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadK562Hdac2a300705aUniPk.narrowPeak.gz
154	K562	HDAC6		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadK562Hdac6a301341aUniPk.narrowPeak.gz
155	K562	p300		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadK562P300UniPk.narrowPeak.gz
156	K562	PHF8		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadK562Phf8a301772aUniPk.narrowPeak.gz
157	K562	PLU1		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadK562Plu1UniPk.narrowPeak.gz
158	K562	Pol2(b)		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadK562Pol2bUniPk.narrowPeak.gz
159	K562	RBBP5		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadK562Rbbp5a300109aUniPk.narrowPeak.gz
160	K562	SAP30		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadK562Sap3039731UniPk.narrowPeak.gz
161	NH-A	CTCF		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadNhaCtcfUniPk.narrowPeak.gz
162	NH-A	EZH2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadNhaEzh239875UniPk.narrowPeak.gz
163	NHDF-Ad	CTCF		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadNhdfadCtcfUniPk.narrowPeak.gz
164	NHDF-Ad	EZH2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadNhdfadEzh239875UniPk.narrowPeak.gz
165	NHEK	CTCF		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadNhekCtcfUniPk.narrowPeak.gz
166	NHEK	EZH2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadNhekEzh239875UniPk.narrowPeak.gz
167	NHEK	Pol2(b)		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadNhekPol2bUniPk.narrowPeak.gz
168	NHLF	CTCF		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadNhlfCtcfUniPk.narrowPeak.gz
169	NHLF	EZH2		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadNhlfEzh239875UniPk.narrowPeak.gz
170	Osteobl	CTCF		TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsBroadOsteoblCtcfUniPk.narrowPeak.gz
171	A549	ATF3	EtOH_0.02pct	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsHaibA549Atf3V0422111Etoh02UniPk.narrowPeak.gz
172	A549	BCL3	EtOH_0.02pct	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsHaibA549Bcl3V0422111Etoh02UniPk.narrowPeak.gz
173	A549	CREB1	DEX_100nM	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsHaibA549Creb1sc240V0416102Dex100nmUniPk.narrowPeak.gz
174	A549	CTCF	DEX_100nM	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsHaibA549Ctcfsc5916Pcr1xDex100nmUniPk.narrowPeak.gz
175	A549	CTCF	EtOH_0.02pct	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsHaibA549Ctcfsc5916Pcr1xEtoh02UniPk.narrowPeak.gz
176	A549	ELF1	EtOH_0.02pct	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsHaibA549Elf1V0422111Etoh02UniPk.narrowPeak.gz
177	A549	ETS1	EtOH_0.02pct	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsHaibA549Ets1V0422111Etoh02UniPk.narrowPeak.gz
178	A549	FOSL2	EtOH_0.02pct	TF	ENCODE	./wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsHaibA549Fosl2V0422111Etoh02UniPk.narrowPeak.gz
