	Cell type	Assay	Treatment	Assay type	Source	
940	H1_Derived_Neuronal_Progenitor_Cultured_Cells	H2AK5ac		Histone	Roadmap Epigenomics	E007-H2AK5ac.narrowPeak.gz
941	H1_Derived_Neuronal_Progenitor_Cultured_Cells	H2BK120ac		Histone	Roadmap Epigenomics	E007-H2BK120ac.narrowPeak.gz
942	H1_Derived_Neuronal_Progenitor_Cultured_Cells	H2BK12ac		Histone	Roadmap Epigenomics	E007-H2BK12ac.narrowPeak.gz
943	H1_Derived_Neuronal_Progenitor_Cultured_Cells	H2BK15ac		Histone	Roadmap Epigenomics	E007-H2BK15ac.narrowPeak.gz
944	H1_Derived_Neuronal_Progenitor_Cultured_Cells	H2BK5ac		Histone	Roadmap Epigenomics	E007-H2BK5ac.narrowPeak.gz
945	H1_Derived_Neuronal_Progenitor_Cultured_Cells	H3K14ac		Histone	Roadmap Epigenomics	E007-H3K14ac.narrowPeak.gz
946	H1_Derived_Neuronal_Progenitor_Cultured_Cells	H3K18ac		Histone	Roadmap Epigenomics	E007-H3K18ac.narrowPeak.gz
947	H1_Derived_Neuronal_Progenitor_Cultured_Cells	H3K23ac		Histone	Roadmap Epigenomics	E007-H3K23ac.narrowPeak.gz
948	H1_Derived_Neuronal_Progenitor_Cultured_Cells	H3K27ac		Histone	Roadmap Epigenomics	E007-H3K27ac.narrowPeak.gz
949	H1_Derived_Neuronal_Progenitor_Cultured_Cells	H3K27me3		Histone	Roadmap Epigenomics	E007-H3K27me3.narrowPeak.gz
950	H1_Derived_Neuronal_Progenitor_Cultured_Cells	H3K36me3		Histone	Roadmap Epigenomics	E007-H3K36me3.narrowPeak.gz
951	H1_Derived_Neuronal_Progenitor_Cultured_Cells	H3K4ac		Histone	Roadmap Epigenomics	E007-H3K4ac.narrowPeak.gz
952	H1_Derived_Neuronal_Progenitor_Cultured_Cells	H3K4me1		Histone	Roadmap Epigenomics	E007-H3K4me1.narrowPeak.gz
953	H1_Derived_Neuronal_Progenitor_Cultured_Cells	H3K4me2		Histone	Roadmap Epigenomics	E007-H3K4me2.narrowPeak.gz
954	H1_Derived_Neuronal_Progenitor_Cultured_Cells	H3K4me3		Histone	Roadmap Epigenomics	E007-H3K4me3.narrowPeak.gz
955	H1_Derived_Neuronal_Progenitor_Cultured_Cells	H3K79me1		Histone	Roadmap Epigenomics	E007-H3K79me1.narrowPeak.gz
956	H1_Derived_Neuronal_Progenitor_Cultured_Cells	H3K9ac		Histone	Roadmap Epigenomics	E007-H3K9ac.narrowPeak.gz
957	H1_Derived_Neuronal_Progenitor_Cultured_Cells	H3K9me3		Histone	Roadmap Epigenomics	E007-H3K9me3.narrowPeak.gz
958	H1_Derived_Neuronal_Progenitor_Cultured_Cells	H4K8ac		Histone	Roadmap Epigenomics	E007-H4K8ac.narrowPeak.gz
959	H1_Derived_Neuronal_Progenitor_Cultured_Cells	H4K91ac		Histone	Roadmap Epigenomics	E007-H4K91ac.narrowPeak.gz
960	H9_Cell_Line	DNase.all.peaks		DNase	Roadmap Epigenomics	E008-DNase.all.peaks.bed.gz
961	H9_Cell_Line	DNase.fdr0.01.hot		DNase	Roadmap Epigenomics	E008-DNase.fdr0.01.hot.bed.gz
962	H9_Cell_Line	DNase.fdr0.01.peaks		DNase	Roadmap Epigenomics	E008-DNase.fdr0.01.peaks.bed.gz
963	H9_Cell_Line	DNase.hot		DNase	Roadmap Epigenomics	E008-DNase.hot.bed.gz
964	H9_Cell_Line	DNase		DNase	Roadmap Epigenomics	E008-DNase.narrowPeak.gz
965	H9_Cell_Line	H2AK5ac		Histone	Roadmap Epigenomics	E008-H2AK5ac.narrowPeak.gz
966	H9_Cell_Line	H2A.Z		Histone	Roadmap Epigenomics	E008-H2A.Z.narrowPeak.gz
967	H9_Cell_Line	H2BK120ac		Histone	Roadmap Epigenomics	E008-H2BK120ac.narrowPeak.gz
968	H9_Cell_Line	H2BK12ac		Histone	Roadmap Epigenomics	E008-H2BK12ac.narrowPeak.gz
969	H9_Cell_Line	H2BK15ac		Histone	Roadmap Epigenomics	E008-H2BK15ac.narrowPeak.gz
970	H9_Cell_Line	H2BK20ac		Histone	Roadmap Epigenomics	E008-H2BK20ac.narrowPeak.gz
971	H9_Cell_Line	H2BK5ac		Histone	Roadmap Epigenomics	E008-H2BK5ac.narrowPeak.gz
972	H9_Cell_Line	H3K14ac		Histone	Roadmap Epigenomics	E008-H3K14ac.narrowPeak.gz
973	H9_Cell_Line	H3K18ac		Histone	Roadmap Epigenomics	E008-H3K18ac.narrowPeak.gz
974	H9_Cell_Line	H3K23ac		Histone	Roadmap Epigenomics	E008-H3K23ac.narrowPeak.gz
975	H9_Cell_Line	H3K23me2		Histone	Roadmap Epigenomics	E008-H3K23me2.narrowPeak.gz
976	H9_Cell_Line	H3K27ac		Histone	Roadmap Epigenomics	E008-H3K27ac.narrowPeak.gz
977	H9_Cell_Line	H3K27me3		Histone	Roadmap Epigenomics	E008-H3K27me3.narrowPeak.gz
978	H9_Cell_Line	H3K36me3		Histone	Roadmap Epigenomics	E008-H3K36me3.narrowPeak.gz
979	H9_Cell_Line	H3K4ac		Histone	Roadmap Epigenomics	E008-H3K4ac.narrowPeak.gz
980	H9_Cell_Line	H3K4me1		Histone	Roadmap Epigenomics	E008-H3K4me1.narrowPeak.gz
981	H9_Cell_Line	H3K4me2		Histone	Roadmap Epigenomics	E008-H3K4me2.narrowPeak.gz
982	H9_Cell_Line	H3K4me3		Histone	Roadmap Epigenomics	E008-H3K4me3.narrowPeak.gz
983	H9_Cell_Line	H3K56ac		Histone	Roadmap Epigenomics	E008-H3K56ac.narrowPeak.gz
984	H9_Cell_Line	H3K79me1		Histone	Roadmap Epigenomics	E008-H3K79me1.narrowPeak.gz
985	H9_Cell_Line	H3K79me2		Histone	Roadmap Epigenomics	E008-H3K79me2.narrowPeak.gz
986	H9_Cell_Line	H3K9ac		Histone	Roadmap Epigenomics	E008-H3K9ac.narrowPeak.gz
987	H9_Cell_Line	H3K9me3		Histone	Roadmap Epigenomics	E008-H3K9me3.narrowPeak.gz
988	H9_Cell_Line	H3T11ph		Histone	Roadmap Epigenomics	E008-H3T11ph.narrowPeak.gz
989	H9_Cell_Line	H4K20me1		Histone	Roadmap Epigenomics	E008-H4K20me1.narrowPeak.gz
990	H9_Cell_Line	H4K5ac		Histone	Roadmap Epigenomics	E008-H4K5ac.narrowPeak.gz
991	H9_Cell_Line	H4K8ac		Histone	Roadmap Epigenomics	E008-H4K8ac.narrowPeak.gz
992	H9_Cell_Line	H4K91ac		Histone	Roadmap Epigenomics	E008-H4K91ac.narrowPeak.gz
993	H9_Derived_Neuronal_Progenitor_Cultured_Cells	H2A.Z		Histone	Roadmap Epigenomics	E009-H2A.Z.narrowPeak.gz
994	H9_Derived_Neuronal_Progenitor_Cultured_Cells	H3K27me3		Histone	Roadmap Epigenomics	E009-H3K27me3.narrowPeak.gz
995	H9_Derived_Neuronal_Progenitor_Cultured_Cells	H3K36me3		Histone	Roadmap Epigenomics	E009-H3K36me3.narrowPeak.gz
996	H9_Derived_Neuronal_Progenitor_Cultured_Cells	H3K4me1		Histone	Roadmap Epigenomics	E009-H3K4me1.narrowPeak.gz
997	H9_Derived_Neuronal_Progenitor_Cultured_Cells	H3K4me3		Histone	Roadmap Epigenomics	E009-H3K4me3.narrowPeak.gz
998	H9_Derived_Neuronal_Progenitor_Cultured_Cells	H3K9me3		Histone	Roadmap Epigenomics	E009-H3K9me3.narrowPeak.gz
999	H9_Derived_Neuron_Cultured_Cells	H2A.Z		Histone	Roadmap Epigenomics	E010-H2A.Z.narrowPeak.gz
1000	H9_Derived_Neuron_Cultured_Cells	H3K27me3		Histone	Roadmap Epigenomics	E010-H3K27me3.narrowPeak.gz
1001	H9_Derived_Neuron_Cultured_Cells	H3K36me3		Histone	Roadmap Epigenomics	E010-H3K36me3.narrowPeak.gz
1002	H9_Derived_Neuron_Cultured_Cells	H3K4me1		Histone	Roadmap Epigenomics	E010-H3K4me1.narrowPeak.gz
1003	H9_Derived_Neuron_Cultured_Cells	H3K4me3		Histone	Roadmap Epigenomics	E010-H3K4me3.narrowPeak.gz
1004	H9_Derived_Neuron_Cultured_Cells	H3K9me3		Histone	Roadmap Epigenomics	E010-H3K9me3.narrowPeak.gz
1005	hESC_Derived_CD184+_Endoderm_Cultured_Cells	H3K27ac		Histone	Roadmap Epigenomics	E011-H3K27ac.narrowPeak.gz
1006	hESC_Derived_CD184+_Endoderm_Cultured_Cells	H3K27me3		Histone	Roadmap Epigenomics	E011-H3K27me3.narrowPeak.gz
1007	hESC_Derived_CD184+_Endoderm_Cultured_Cells	H3K36me3		Histone	Roadmap Epigenomics	E011-H3K36me3.narrowPeak.gz
1008	hESC_Derived_CD184+_Endoderm_Cultured_Cells	H3K4me1		Histone	Roadmap Epigenomics	E011-H3K4me1.narrowPeak.gz
1009	hESC_Derived_CD184+_Endoderm_Cultured_Cells	H3K4me3		Histone	Roadmap Epigenomics	E011-H3K4me3.narrowPeak.gz
1010	hESC_Derived_CD184+_Endoderm_Cultured_Cells	H3K9ac		Histone	Roadmap Epigenomics	E011-H3K9ac.narrowPeak.gz
1011	hESC_Derived_CD184+_Endoderm_Cultured_Cells	H3K9me3		Histone	Roadmap Epigenomics	E011-H3K9me3.narrowPeak.gz
1012	hESC_Derived_CD56+_Ectoderm_Cultured_Cells	H3K27ac		Histone	Roadmap Epigenomics	E012-H3K27ac.narrowPeak.gz
1013	hESC_Derived_CD56+_Ectoderm_Cultured_Cells	H3K27me3		Histone	Roadmap Epigenomics	E012-H3K27me3.narrowPeak.gz
1014	hESC_Derived_CD56+_Ectoderm_Cultured_Cells	H3K36me3		Histone	Roadmap Epigenomics	E012-H3K36me3.narrowPeak.gz
1015	hESC_Derived_CD56+_Ectoderm_Cultured_Cells	H3K4me1		Histone	Roadmap Epigenomics	E012-H3K4me1.narrowPeak.gz
1016	hESC_Derived_CD56+_Ectoderm_Cultured_Cells	H3K4me3		Histone	Roadmap Epigenomics	E012-H3K4me3.narrowPeak.gz
1017	hESC_Derived_CD56+_Ectoderm_Cultured_Cells	H3K9me3		Histone	Roadmap Epigenomics	E012-H3K9me3.narrowPeak.gz
1018	hESC_Derived_CD56+_Mesoderm_Cultured_Cells	H3K27ac		Histone	Roadmap Epigenomics	E013-H3K27ac.narrowPeak.gz
1019	hESC_Derived_CD56+_Mesoderm_Cultured_Cells	H3K27me3		Histone	Roadmap Epigenomics	E013-H3K27me3.narrowPeak.gz
1020	hESC_Derived_CD56+_Mesoderm_Cultured_Cells	H3K36me3		Histone	Roadmap Epigenomics	E013-H3K36me3.narrowPeak.gz
1021	hESC_Derived_CD56+_Mesoderm_Cultured_Cells	H3K4me1		Histone	Roadmap Epigenomics	E013-H3K4me1.narrowPeak.gz
1022	hESC_Derived_CD56+_Mesoderm_Cultured_Cells	H3K4me3		Histone	Roadmap Epigenomics	E013-H3K4me3.narrowPeak.gz
1023	hESC_Derived_CD56+_Mesoderm_Cultured_Cells	H3K9me3		Histone	Roadmap Epigenomics	E013-H3K9me3.narrowPeak.gz
1024	HUES48_Cell_Line	H3K27ac		Histone	Roadmap Epigenomics	E014-H3K27ac.narrowPeak.gz
1025	HUES48_Cell_Line	H3K27me3		Histone	Roadmap Epigenomics	E014-H3K27me3.narrowPeak.gz
1026	HUES48_Cell_Line	H3K36me3		Histone	Roadmap Epigenomics	E014-H3K36me3.narrowPeak.gz
1027	HUES48_Cell_Line	H3K4me1		Histone	Roadmap Epigenomics	E014-H3K4me1.narrowPeak.gz
1028	HUES48_Cell_Line	H3K4me3		Histone	Roadmap Epigenomics	E014-H3K4me3.narrowPeak.gz
1029	HUES48_Cell_Line	H3K9ac		Histone	Roadmap Epigenomics	E014-H3K9ac.narrowPeak.gz
1030	HUES48_Cell_Line	H3K9me3		Histone	Roadmap Epigenomics	E014-H3K9me3.narrowPeak.gz
1031	HUES6_Cell_Line	H3K27ac		Histone	Roadmap Epigenomics	E015-H3K27ac.narrowPeak.gz
1032	HUES6_Cell_Line	H3K27me3		Histone	Roadmap Epigenomics	E015-H3K27me3.narrowPeak.gz
1033	HUES6_Cell_Line	H3K36me3		Histone	Roadmap Epigenomics	E015-H3K36me3.narrowPeak.gz
1034	HUES6_Cell_Line	H3K4me1		Histone	Roadmap Epigenomics	E015-H3K4me1.narrowPeak.gz
1035	HUES6_Cell_Line	H3K4me3		Histone	Roadmap Epigenomics	E015-H3K4me3.narrowPeak.gz
1036	HUES6_Cell_Line	H3K9ac		Histone	Roadmap Epigenomics	E015-H3K9ac.narrowPeak.gz
1037	HUES6_Cell_Line	H3K9me3		Histone	Roadmap Epigenomics	E015-H3K9me3.narrowPeak.gz
1038	HUES64_Cell_Line	H3K27ac		Histone	Roadmap Epigenomics	E016-H3K27ac.narrowPeak.gz
1039	HUES64_Cell_Line	H3K27me3		Histone	Roadmap Epigenomics	E016-H3K27me3.narrowPeak.gz
1040	HUES64_Cell_Line	H3K36me3		Histone	Roadmap Epigenomics	E016-H3K36me3.narrowPeak.gz
1041	HUES64_Cell_Line	H3K4me1		Histone	Roadmap Epigenomics	E016-H3K4me1.narrowPeak.gz
1042	HUES64_Cell_Line	H3K4me3		Histone	Roadmap Epigenomics	E016-H3K4me3.narrowPeak.gz
1043	HUES64_Cell_Line	H3K9ac		Histone	Roadmap Epigenomics	E016-H3K9ac.narrowPeak.gz
1044	HUES64_Cell_Line	H3K9me3		Histone	Roadmap Epigenomics	E016-H3K9me3.narrowPeak.gz
1045	IMR90_Cell_Line	DNase.all.peaks		DNase	Roadmap Epigenomics	E017-DNase.all.peaks.bed.gz
1046	IMR90_Cell_Line	DNase.fdr0.01.hot		DNase	Roadmap Epigenomics	E017-DNase.fdr0.01.hot.bed.gz
1047	IMR90_Cell_Line	DNase.fdr0.01.peaks		DNase	Roadmap Epigenomics	E017-DNase.fdr0.01.peaks.bed.gz
1048	IMR90_Cell_Line	DNase.hot		DNase	Roadmap Epigenomics	E017-DNase.hot.bed.gz
1049	IMR90_Cell_Line	DNase		DNase	Roadmap Epigenomics	E017-DNase.narrowPeak.gz
1050	IMR90_Cell_Line	H2AK5ac		Histone	Roadmap Epigenomics	E017-H2AK5ac.narrowPeak.gz
1051	IMR90_Cell_Line	H2AK9ac		Histone	Roadmap Epigenomics	E017-H2AK9ac.narrowPeak.gz
1052	IMR90_Cell_Line	H2A.Z		Histone	Roadmap Epigenomics	E017-H2A.Z.narrowPeak.gz
1053	IMR90_Cell_Line	H2BK120ac		Histone	Roadmap Epigenomics	E017-H2BK120ac.narrowPeak.gz
1054	IMR90_Cell_Line	H2BK12ac		Histone	Roadmap Epigenomics	E017-H2BK12ac.narrowPeak.gz
1055	IMR90_Cell_Line	H2BK15ac		Histone	Roadmap Epigenomics	E017-H2BK15ac.narrowPeak.gz
1056	IMR90_Cell_Line	H2BK20ac		Histone	Roadmap Epigenomics	E017-H2BK20ac.narrowPeak.gz
1057	IMR90_Cell_Line	H2BK5ac		Histone	Roadmap Epigenomics	E017-H2BK5ac.narrowPeak.gz
1058	IMR90_Cell_Line	H3K14ac		Histone	Roadmap Epigenomics	E017-H3K14ac.narrowPeak.gz
1059	IMR90_Cell_Line	H3K18ac		Histone	Roadmap Epigenomics	E017-H3K18ac.narrowPeak.gz
1060	IMR90_Cell_Line	H3K23ac		Histone	Roadmap Epigenomics	E017-H3K23ac.narrowPeak.gz
1061	IMR90_Cell_Line	H3K27ac		Histone	Roadmap Epigenomics	E017-H3K27ac.narrowPeak.gz
1062	IMR90_Cell_Line	H3K27me3		Histone	Roadmap Epigenomics	E017-H3K27me3.narrowPeak.gz
1063	IMR90_Cell_Line	H3K36me3		Histone	Roadmap Epigenomics	E017-H3K36me3.narrowPeak.gz
1064	IMR90_Cell_Line	H3K4ac		Histone	Roadmap Epigenomics	E017-H3K4ac.narrowPeak.gz
1065	IMR90_Cell_Line	H3K4me1		Histone	Roadmap Epigenomics	E017-H3K4me1.narrowPeak.gz
1066	IMR90_Cell_Line	H3K4me2		Histone	Roadmap Epigenomics	E017-H3K4me2.narrowPeak.gz
1067	IMR90_Cell_Line	H3K4me3		Histone	Roadmap Epigenomics	E017-H3K4me3.narrowPeak.gz
1068	IMR90_Cell_Line	H3K56ac		Histone	Roadmap Epigenomics	E017-H3K56ac.narrowPeak.gz
1069	IMR90_Cell_Line	H3K79me1		Histone	Roadmap Epigenomics	E017-H3K79me1.narrowPeak.gz
1070	IMR90_Cell_Line	H3K79me2		Histone	Roadmap Epigenomics	E017-H3K79me2.narrowPeak.gz
1071	IMR90_Cell_Line	H3K9ac		Histone	Roadmap Epigenomics	E017-H3K9ac.narrowPeak.gz
1072	IMR90_Cell_Line	H3K9me1		Histone	Roadmap Epigenomics	E017-H3K9me1.narrowPeak.gz
1073	IMR90_Cell_Line	H3K9me3		Histone	Roadmap Epigenomics	E017-H3K9me3.narrowPeak.gz
1074	IMR90_Cell_Line	H4K20me1		Histone	Roadmap Epigenomics	E017-H4K20me1.narrowPeak.gz
1075	IMR90_Cell_Line	H4K5ac		Histone	Roadmap Epigenomics	E017-H4K5ac.narrowPeak.gz
1076	IMR90_Cell_Line	H4K8ac		Histone	Roadmap Epigenomics	E017-H4K8ac.narrowPeak.gz
1077	IMR90_Cell_Line	H4K91ac		Histone	Roadmap Epigenomics	E017-H4K91ac.narrowPeak.gz
1078	iPS-15b_Cell_Line	H3K27me3		Histone	Roadmap Epigenomics	E018-H3K27me3.narrowPeak.gz
1079	iPS-15b_Cell_Line	H3K36me3		Histone	Roadmap Epigenomics	E018-H3K36me3.narrowPeak.gz
1080	iPS-15b_Cell_Line	H3K4me1		Histone	Roadmap Epigenomics	E018-H3K4me1.narrowPeak.gz
1081	iPS-15b_Cell_Line	H3K4me3		Histone	Roadmap Epigenomics	E018-H3K4me3.narrowPeak.gz
1082	iPS-15b_Cell_Line	H3K9ac		Histone	Roadmap Epigenomics	E018-H3K9ac.narrowPeak.gz
1083	iPS-15b_Cell_Line	H3K9me3		Histone	Roadmap Epigenomics	E018-H3K9me3.narrowPeak.gz
1084	iPS-18_Cell_Line	H3K27ac		Histone	Roadmap Epigenomics	E019-H3K27ac.narrowPeak.gz
1085	iPS-18_Cell_Line	H3K27me3		Histone	Roadmap Epigenomics	E019-H3K27me3.narrowPeak.gz
1086	iPS-18_Cell_Line	H3K36me3		Histone	Roadmap Epigenomics	E019-H3K36me3.narrowPeak.gz
1087	iPS-18_Cell_Line	H3K4me1		Histone	Roadmap Epigenomics	E019-H3K4me1.narrowPeak.gz
1088	iPS-18_Cell_Line	H3K4me3		Histone	Roadmap Epigenomics	E019-H3K4me3.narrowPeak.gz
1089	iPS-18_Cell_Line	H3K9ac		Histone	Roadmap Epigenomics	E019-H3K9ac.narrowPeak.gz
1090	iPS-18_Cell_Line	H3K9me3		Histone	Roadmap Epigenomics	E019-H3K9me3.narrowPeak.gz
1091	iPS-20b_Cell_Line	H3K27ac		Histone	Roadmap Epigenomics	E020-H3K27ac.narrowPeak.gz
1092	iPS-20b_Cell_Line	H3K27me3		Histone	Roadmap Epigenomics	E020-H3K27me3.narrowPeak.gz
1093	iPS-20b_Cell_Line	H3K36me3		Histone	Roadmap Epigenomics	E020-H3K36me3.narrowPeak.gz
1094	iPS-20b_Cell_Line	H3K4me1		Histone	Roadmap Epigenomics	E020-H3K4me1.narrowPeak.gz
1095	iPS-20b_Cell_Line	H3K4me3		Histone	Roadmap Epigenomics	E020-H3K4me3.narrowPeak.gz
1096	iPS-20b_Cell_Line	H3K9ac		Histone	Roadmap Epigenomics	E020-H3K9ac.narrowPeak.gz
1097	iPS-20b_Cell_Line	H3K9me3		Histone	Roadmap Epigenomics	E020-H3K9me3.narrowPeak.gz
1098	iPS_DF_6.9_Cell_Line	DNase.all.peaks		DNase	Roadmap Epigenomics	E021-DNase.all.peaks.bed.gz
1099	iPS_DF_6.9_Cell_Line	DNase.fdr0.01.hot		DNase	Roadmap Epigenomics	E021-DNase.fdr0.01.hot.bed.gz
1100	iPS_DF_6.9_Cell_Line	DNase.fdr0.01.peaks		DNase	Roadmap Epigenomics	E021-DNase.fdr0.01.peaks.bed.gz
1101	iPS_DF_6.9_Cell_Line	DNase.hot		DNase	Roadmap Epigenomics	E021-DNase.hot.bed.gz
1102	iPS_DF_6.9_Cell_Line	DNase		DNase	Roadmap Epigenomics	E021-DNase.narrowPeak.gz
1103	iPS_DF_6.9_Cell_Line	H3K27ac		Histone	Roadmap Epigenomics	E021-H3K27ac.narrowPeak.gz
1104	iPS_DF_6.9_Cell_Line	H3K27me3		Histone	Roadmap Epigenomics	E021-H3K27me3.narrowPeak.gz
1105	iPS_DF_6.9_Cell_Line	H3K36me3		Histone	Roadmap Epigenomics	E021-H3K36me3.narrowPeak.gz
1106	iPS_DF_6.9_Cell_Line	H3K4me1		Histone	Roadmap Epigenomics	E021-H3K4me1.narrowPeak.gz
1107	iPS_DF_6.9_Cell_Line	H3K4me3		Histone	Roadmap Epigenomics	E021-H3K4me3.narrowPeak.gz
1108	iPS_DF_6.9_Cell_Line	H3K9me3		Histone	Roadmap Epigenomics	E021-H3K9me3.narrowPeak.gz
1109	iPS_DF_19.11_Cell_Line	DNase.all.peaks		DNase	Roadmap Epigenomics	E022-DNase.all.peaks.bed.gz
1110	iPS_DF_19.11_Cell_Line	DNase.fdr0.01.hot		DNase	Roadmap Epigenomics	E022-DNase.fdr0.01.hot.bed.gz
1111	iPS_DF_19.11_Cell_Line	DNase.fdr0.01.peaks		DNase	Roadmap Epigenomics	E022-DNase.fdr0.01.peaks.bed.gz
1112	iPS_DF_19.11_Cell_Line	DNase.hot		DNase	Roadmap Epigenomics	E022-DNase.hot.bed.gz
1113	iPS_DF_19.11_Cell_Line	DNase		DNase	Roadmap Epigenomics	E022-DNase.narrowPeak.gz
1114	iPS_DF_19.11_Cell_Line	H3K27ac		Histone	Roadmap Epigenomics	E022-H3K27ac.narrowPeak.gz
1115	iPS_DF_19.11_Cell_Line	H3K27me3		Histone	Roadmap Epigenomics	E022-H3K27me3.narrowPeak.gz
1116	iPS_DF_19.11_Cell_Line	H3K36me3		Histone	Roadmap Epigenomics	E022-H3K36me3.narrowPeak.gz
1117	iPS_DF_19.11_Cell_Line	H3K4me1		Histone	Roadmap Epigenomics	E022-H3K4me1.narrowPeak.gz
1118	iPS_DF_19.11_Cell_Line	H3K4me3		Histone	Roadmap Epigenomics	E022-H3K4me3.narrowPeak.gz
1119	iPS_DF_19.11_Cell_Line	H3K9me3		Histone	Roadmap Epigenomics	E022-H3K9me3.narrowPeak.gz
1120	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	H3K27me3		Histone	Roadmap Epigenomics	E023-H3K27me3.narrowPeak.gz
1121	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	H3K36me3		Histone	Roadmap Epigenomics	E023-H3K36me3.narrowPeak.gz
1122	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	H3K4me1		Histone	Roadmap Epigenomics	E023-H3K4me1.narrowPeak.gz
1123	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	H3K4me3		Histone	Roadmap Epigenomics	E023-H3K4me3.narrowPeak.gz
1124	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	H3K9ac		Histone	Roadmap Epigenomics	E023-H3K9ac.narrowPeak.gz
1125	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells	H3K9me3		Histone	Roadmap Epigenomics	E023-H3K9me3.narrowPeak.gz
1126	4star	H3K27me3		Histone	Roadmap Epigenomics	E024-H3K27me3.narrowPeak.gz
1127	4star	H3K36me3		Histone	Roadmap Epigenomics	E024-H3K36me3.narrowPeak.gz
1128	4star	H3K4me1		Histone	Roadmap Epigenomics	E024-H3K4me1.narrowPeak.gz
1129	4star	H3K4me3		Histone	Roadmap Epigenomics	E024-H3K4me3.narrowPeak.gz
1130	4star	H3K9me3		Histone	Roadmap Epigenomics	E024-H3K9me3.narrowPeak.gz
1131	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H3K27me3		Histone	Roadmap Epigenomics	E025-H3K27me3.narrowPeak.gz
1132	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H3K36me3		Histone	Roadmap Epigenomics	E025-H3K36me3.narrowPeak.gz
1133	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H3K4me1		Histone	Roadmap Epigenomics	E025-H3K4me1.narrowPeak.gz
1134	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H3K4me3		Histone	Roadmap Epigenomics	E025-H3K4me3.narrowPeak.gz
1135	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H3K9ac		Histone	Roadmap Epigenomics	E025-H3K9ac.narrowPeak.gz
1136	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H3K9me3		Histone	Roadmap Epigenomics	E025-H3K9me3.narrowPeak.gz
1137	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H3K27ac		Histone	Roadmap Epigenomics	E026-H3K27ac.narrowPeak.gz
1138	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H3K27me3		Histone	Roadmap Epigenomics	E026-H3K27me3.narrowPeak.gz
1139	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H3K36me3		Histone	Roadmap Epigenomics	E026-H3K36me3.narrowPeak.gz
1140	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H3K4me1		Histone	Roadmap Epigenomics	E026-H3K4me1.narrowPeak.gz
1141	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H3K4me3		Histone	Roadmap Epigenomics	E026-H3K4me3.narrowPeak.gz
1142	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H3K9ac		Histone	Roadmap Epigenomics	E026-H3K9ac.narrowPeak.gz
1143	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	H3K9me3		Histone	Roadmap Epigenomics	E026-H3K9me3.narrowPeak.gz
1144	Breast_Myoepithelial_Cells	H3K27me3		Histone	Roadmap Epigenomics	E027-H3K27me3.narrowPeak.gz
1145	Breast_Myoepithelial_Cells	H3K36me3		Histone	Roadmap Epigenomics	E027-H3K36me3.narrowPeak.gz
1146	Breast_Myoepithelial_Cells	H3K4me1		Histone	Roadmap Epigenomics	E027-H3K4me1.narrowPeak.gz
1147	Breast_Myoepithelial_Cells	H3K4me3		Histone	Roadmap Epigenomics	E027-H3K4me3.narrowPeak.gz
1148	Breast_Myoepithelial_Cells	H3K9ac		Histone	Roadmap Epigenomics	E027-H3K9ac.narrowPeak.gz
1149	Breast_Myoepithelial_Cells	H3K9me3		Histone	Roadmap Epigenomics	E027-H3K9me3.narrowPeak.gz
1150	Breast_vHMEC	DNase.all.peaks		DNase	Roadmap Epigenomics	E028-DNase.all.peaks.bed.gz
1151	Breast_vHMEC	DNase.fdr0.01.hot		DNase	Roadmap Epigenomics	E028-DNase.fdr0.01.hot.bed.gz
1152	Breast_vHMEC	DNase.fdr0.01.peaks		DNase	Roadmap Epigenomics	E028-DNase.fdr0.01.peaks.bed.gz
1153	Breast_vHMEC	DNase.hot		DNase	Roadmap Epigenomics	E028-DNase.hot.bed.gz
1154	Breast_vHMEC	DNase		DNase	Roadmap Epigenomics	E028-DNase.narrowPeak.gz
1155	Breast_vHMEC	H3K27me3		Histone	Roadmap Epigenomics	E028-H3K27me3.narrowPeak.gz
1156	Breast_vHMEC	H3K36me3		Histone	Roadmap Epigenomics	E028-H3K36me3.narrowPeak.gz
